instance,strategy,result,time
Chade12e,pr,1368,66700
Chade12n,pr,2132,65108
China17e,pr,1330,64495
China17n,pr,1705,65607
Colombia11e,pr,963,62107
Colombia11n,pr,1094,62613
Congo15e,pr,1278,63340
Congo15n,pr,1794,63758
EUA17e,pr,1178,63869
EUA17n,pr,1711,65221
Egito9n,pr,2117,64639
Etiopia10e,pr,1143,63367
Etiopia10n,pr,1335,64335
India16e,pr,1749,65042
India16n,pr,2542,65266
Indonesia14e,pr,1260,64613
Indonesia14n,pr,1505,64480
Ira13e,pr,1600,64816
Ira13n,pr,1979,64925
Libia14e,pr,799,62709
Libia14n,pr,1209,64139
Mali11e,pr,1410,64486
Mali11n,pr,2510,66412
Mauritania10e,pr,764,63830
Mauritania10n,pr,1469,64318
Mexico14e,pr,1363,64495
Mexico14n,pr,2112,65396
Mongolia13e,pr,1346,65094
Mongolia13n,pr,1923,64557
Niger12e,pr,1395,65149
Niger12n,pr,2013,64982
Peru13e,pr,1308,62838
Peru13n,pr,1907,63517
Russia17e,pr,1894,65325
Russia17n,pr,2717,66259
Sudao15e,pr,1355,65945
Sudao15n,pr,2611,66410
att48Ae,pr,33016,66700
att48An,pr,1688,66821
AfricaSul11e,pr,1330,63585
AfricaSul11n,pr,1934,64808
Angola12e,pr,981,63147
Angola12n,pr,1701,64092
Arabia14e,pr,1543,64854
Arabia14n,pr,2889,64713
Argelia15e,pr,1320,65221
Argelia15n,pr,2247,65169
Argentina16e,pr,1383,64632
Argentina16n,pr,2639,65333
Australia16e,pr,1762,66333
Australia16n,pr,1970,66616
Bolivia10e,pr,1145,64908
Bolivia10n,pr,1314,64771
Brasil16e,pr,1983,66082
Brasil16n,pr,2797,66671
BrasilAM26e,pr,637,67382
BrasilAM26n,pr,550,67391
BrasilMG30e,pr,710,67260
BrasilMG30n,pr,609,68067
BrasilPR25e,pr,679,67181
BrasilRJ14e,pr,337,63738
BrasilRJ14n,pr,516,65054
BrasilRN16e,pr,494,64385
Canada17e,pr,2036,66805
Canada17n,pr,3221,66733
Cazaquistao15e,pr,1524,66439
Cazaquistao15n,pr,2620,66611
Chade12e,pr,1508,66858
Chade12n,pr,2092,66408
China17e,pr,1589,66556
China17n,pr,1692,66928
Colombia11e,pr,963,63153
Colombia11n,pr,1094,63990
Congo15e,pr,1299,64386
Congo15n,pr,1822,63788
EUA17e,pr,1178,64872
EUA17n,pr,1711,65384
Egito9n,pr,1995,64619
Etiopia10e,pr,1021,63612
Etiopia10n,pr,1808,64279
India16e,pr,1749,64812
India16n,pr,2287,65161
Indonesia14e,pr,1361,65022
Indonesia14n,pr,1530,64621
Ira13e,pr,1541,64644
Ira13n,pr,2107,65326
Libia14e,pr,799,62562
Libia14n,pr,1209,64191
Mali11e,pr,1408,64000
Mali11n,pr,2197,64629
Mauritania10e,pr,764,62272
Mauritania10n,pr,1469,62985
Mexico14e,pr,1120,64898
Mexico14n,pr,2021,65124
Mongolia13e,pr,1237,65108
Mongolia13n,pr,1943,64294
Niger12e,pr,1534,64729
Niger12n,pr,2457,64767
Peru13e,pr,1308,62953
Peru13n,pr,1907,63876
Russia17e,pr,1894,65131
Russia17n,pr,3330,65727
Sudao15e,pr,1488,64541
Sudao15n,pr,2382,64988
att48Ae,pr,33411,66836
att48An,pr,1541,66811
AfricaSul11e,pr,1313,63516
AfricaSul11n,pr,1754,64797
Angola12e,pr,981,62504
Angola12n,pr,1701,63305
Arabia14e,pr,1681,64491
Arabia14n,pr,2514,66752
Argelia15e,pr,1490,66401
Argelia15n,pr,2201,66691
Argentina16e,pr,1383,63486
Argentina16n,pr,2639,63773
Australia16e,pr,1753,65155
Australia16n,pr,2090,65462
Bolivia10e,pr,1196,63344
Bolivia10n,pr,1266,63924
Brasil16e,pr,1947,64781
Brasil16n,pr,2645,65738
BrasilAM26e,pr,670,65937
BrasilAM26n,pr,638,65655
BrasilMG30e,pr,706,65662
BrasilMG30n,pr,578,66870
BrasilPR25e,pr,672,67100
BrasilRJ14e,pr,337,62914
BrasilRJ14n,pr,516,63398
BrasilRN16e,pr,474,64623
Canada17e,pr,1954,66528
Canada17n,pr,3221,66368
Cazaquistao15e,pr,1535,65067
Cazaquistao15n,pr,2778,65312
Chade12e,pr,1429,65006
Chade12n,pr,2059,64997
China17e,pr,1368,66305
China17n,pr,1803,66782
Colombia11e,pr,963,63480
Colombia11n,pr,1094,64482
Congo15e,pr,1299,64437
Congo15n,pr,1822,64981
EUA17e,pr,1178,65225
EUA17n,pr,1815,66283
Egito9n,pr,2073,65592
Etiopia10e,pr,820,64488
Etiopia10n,pr,2236,63748
India16e,pr,1749,64888
India16n,pr,2725,65084
Indonesia14e,pr,1288,64708
Indonesia14n,pr,1530,64124
Ira13e,pr,1714,64894
Ira13n,pr,2051,64872
Libia14e,pr,799,62886
Libia14n,pr,1209,64209
Mali11e,pr,1425,64435
Mali11n,pr,2206,64755
Mauritania10e,pr,764,62290
Mauritania10n,pr,1469,63154
Mexico14e,pr,1171,64694
Mexico14n,pr,2218,65406
Mongolia13e,pr,1404,65086
Mongolia13n,pr,1948,64158
Niger12e,pr,1324,64781
Niger12n,pr,2129,66639
Peru13e,pr,1308,64401
Peru13n,pr,1907,65323
Russia17e,pr,1999,66655
Russia17n,pr,2821,68315
Sudao15e,pr,1364,66464
Sudao15n,pr,2283,66204
att48Ae,pr,33196,67929
att48An,pr,2343,68043
AfricaSul11e,pr,1312,65011
AfricaSul11n,pr,1945,66606
Angola12e,pr,981,63237
Angola12n,pr,1701,62349
Arabia14e,pr,1476,64388
Arabia14n,pr,2889,65165
Argelia15e,pr,1238,64361
Argelia15n,pr,2247,65111
Argentina16e,pr,1383,63419
Argentina16n,pr,2639,63741
Australia16e,pr,1814,65096
Australia16n,pr,1967,65181
Bolivia10e,pr,1308,63897
Bolivia10n,pr,1345,63863
Brasil16e,pr,2171,64959
Brasil16n,pr,2597,65591
BrasilAM26e,pr,634,65569
BrasilAM26n,pr,527,66092
BrasilMG30e,pr,703,67320
BrasilMG30n,pr,531,66309
BrasilPR25e,pr,658,65706
BrasilRJ14e,pr,337,62360
BrasilRJ14n,pr,514,63554
BrasilRN16e,pr,494,63171
Canada17e,pr,2275,65096
Canada17n,pr,3221,65241
Cazaquistao15e,pr,1390,65138
Cazaquistao15n,pr,2529,65035
Chade12e,pr,1424,66431
Chade12n,pr,2136,66602
China17e,pr,1334,66866
China17n,pr,1803,67034
Colombia11e,pr,963,63478
Colombia11n,pr,1094,62482
Congo15e,pr,1299,63207
Congo15n,pr,1822,63576
EUA17e,pr,1178,63619
EUA17n,pr,1815,65206
Egito9n,pr,1964,64440
Etiopia10e,pr,905,64086
Etiopia10n,pr,1456,65187
India16e,pr,1749,66078
India16n,pr,2542,66066
Indonesia14e,pr,1233,65610
Indonesia14n,pr,1790,65619
Ira13e,pr,1632,65952
Ira13n,pr,1905,66133
Libia14e,pr,799,63442
Libia14n,pr,1209,64206
Mali11e,pr,1375,64487
Mali11n,pr,2213,64798
Mauritania10e,pr,764,62118
Mauritania10n,pr,1469,62768
Mexico14e,pr,1541,64791
Mexico14n,pr,2274,65380
Mongolia13e,pr,1471,64894
Mongolia13n,pr,1623,65339
Niger12e,pr,1480,66266
Niger12n,pr,2457,65727
Peru13e,pr,1308,63030
Peru13n,pr,1907,63808
Russia17e,pr,1894,64917
Russia17n,pr,2813,65595
Sudao15e,pr,1431,64741
Sudao15n,pr,2611,65013
att48Ae,pr,33090,66586
att48An,pr,1708,69039
